district,facility,date
kaoma dho,nkeyema,2009-09-02
kaoma dho,nyambi 1,2009-09-04
kaoma dho,mulwa,2009-09-03
kaoma dho,kasimba,2009-09-07
kaoma dho,chitwa,2009-09-03
kaoma dho,nakayembe,2009-09-03
kaoma dho,kaoma district hospital,2009-09-04
kaoma dho,kaoma urban,2009-09-04
kaoma dho,luena camp,2009-09-05
kaoma dho,katunda,2009-09-07
kaoma dho,mulamba,2009-09-05
kaoma dho,luampa,2009-09-07
kaoma dho,nyambi 2,2009-09-05
kaoma dho,kasabi,2009-09-05
kaoma dho,kaaba,2009-09-05
kaoma dho,kabilamwandi,2009-09-07
kaoma dho,winda,2009-09-07
kaoma dho,namilangi,2009-09-04
kaoma dho,kandende,2009-09-04
kaoma dho,kahare,2009-09-04
kaoma dho,njonjolo,2009-09-05
kaoma dho,nkenga,2009-09-07
kaoma dho,lui,2009-09-04
kaoma dho,mayukwayukwa 1,2009-09-04
kaoma dho,mbanyutu,2009-09-10
kaoma dho,mwanambuyu,2009-09-07
kaoma dho,mayukwayukwa 2 (aha),2009-09-05
kaoma dho,zns mangango,2009-09-07
kaoma dho,saint josephs,2009-09-04
kaoma dho,afumba,2009-09-05
kaoma dho,nkeyema,2009-10-01
kaoma dho,nyambi 1,2009-10-05
kaoma dho,mulwa,2009-10-03
kaoma dho,kasimba,2009-10-05
kaoma dho,chitwa,2009-10-03
kaoma dho,nakayembe,2009-10-01
kaoma dho,kaoma urban,2009-10-09
kaoma dho,luena camp,2009-10-05
kaoma dho,katunda,2009-10-02
kaoma dho,mulamba,2009-10-05
kaoma dho,luampa,2009-10-05
kaoma dho,nyambi 2,2009-10-05
kaoma dho,kasabi,2009-10-05
kaoma dho,kaaba,2009-10-05
kaoma dho,kabilamwandi,2009-10-05
kaoma dho,winda,2009-10-05
kaoma dho,namilangi,2009-10-05
kaoma dho,kandende,2009-10-09
kaoma dho,kahare,2009-10-05
kaoma dho,njonjolo,2009-10-05
kaoma dho,nkenga,2009-10-05
kaoma dho,lui,2009-10-05
kaoma dho,mayukwayukwa 1,2009-10-05
kaoma dho,mbanyutu,2009-10-05
kaoma dho,mwanambuyu,2009-10-05
kaoma dho,mayukwayukwa 2 (aha),2009-10-05
kaoma dho,zns mangango,2009-10-05
kaoma dho,saint josephs,2009-10-09
kaoma dho,afumba,2009-10-05
kaoma dho,nkeyema,2009-11-03
kaoma dho,nyambi 1,2009-11-05
kaoma dho,mulwa,2009-11-03
kaoma dho,kasimba,2009-11-05
kaoma dho,chitwa,2009-11-03
kaoma dho,nakayembe,2009-11-03
kaoma dho,kaoma urban,2009-11-06
kaoma dho,luena camp,2009-11-05
kaoma dho,luampa,2009-11-09
kaoma dho,katunda,2009-11-04
kaoma dho,mulamba,2009-11-05
kaoma dho,nyambi 2,2009-11-06
kaoma dho,kasabi,2009-10-09
kaoma dho,kaaba,2009-11-09
kaoma dho,kabilamwandi,2009-11-05
kaoma dho,winda,2009-11-05
kaoma dho,namilangi,2009-11-09
kaoma dho,kandende,2009-11-04
kaoma dho,kahare,2009-11-05
kaoma dho,njonjolo,2009-11-05
kaoma dho,nkenga,2009-11-05
kaoma dho,lui,2009-11-05
kaoma dho,mayukwayukwa 1,2009-11-05
kaoma dho,mbanyutu,2009-11-05
kaoma dho,mwanambuyu,2009-11-05
kaoma dho,mayukwayukwa 2 (aha),2009-11-05
kaoma dho,zns mangango,2009-11-05
kaoma dho,saint josephs,2009-11-05
kaoma dho,afumba,2009-11-05
kaoma dho,nkeyema,2009-12-01
kaoma dho,mulwa,2009-12-09
kaoma dho,kasimba,2009-12-07
kaoma dho,chitwa,2009-12-09
kaoma dho,nakayembe,2009-12-05
kaoma dho,kaoma urban,2009-12-09
kaoma dho,luena camp,2009-12-05
kaoma dho,katunda,2009-12-07
kaoma dho,mulamba,2009-12-05
kaoma dho,luampa,2009-12-07
kaoma dho,nyambi 2,2009-12-07
kaoma dho,kasabi,2009-12-07
kaoma dho,kaaba,2009-12-08
kaoma dho,kabilamwandi,2009-12-05
kaoma dho,winda,2009-12-07
kaoma dho,namilangi,2009-12-09
kaoma dho,kandende,2009-12-07
kaoma dho,kahare,2009-12-05
kaoma dho,njonjolo,2009-12-07
kaoma dho,lui,2009-12-09
kaoma dho,mayukwayukwa 1,2009-12-07
kaoma dho,mbanyutu,2009-12-07
kaoma dho,mwanambuyu,2009-12-07
kaoma dho,mayukwayukwa 2 (aha),2009-12-07
kaoma dho,zns mangango,2009-12-09
kaoma dho,saint josephs,2009-12-09
kaoma dho,afumba,2009-12-08
kaoma dho,nkeyema,2010-01-04
kaoma dho,mulwa,2010-01-06
kaoma dho,nakayembe,2010-01-06
kaoma dho,kaoma urban,2010-01-08
kaoma dho,luena camp,2010-01-04
kaoma dho,katunda,2010-01-08
kaoma dho,luampa,2010-01-05
kaoma dho,nyambi 2,2010-01-06
kaoma dho,kasabi,2010-01-04
kaoma dho,kaaba,2010-01-04
kaoma dho,winda,2010-01-05
kaoma dho,namilangi,2010-01-05
kaoma dho,njonjolo,2010-01-04
kaoma dho,lui,2010-01-07
kaoma dho,zns mangango,2010-01-05
kaoma dho,saint josephs,2010-01-05
kaoma dho,afumba,2010-01-05
kaoma dho,nkeyema,2010-02-04
kaoma dho,nyambi 1,2010-02-03
kaoma dho,mulwa,2010-02-03
kaoma dho,kasimba,2010-02-05
kaoma dho,chitwa,2010-02-05
kaoma dho,nakayembe,2010-02-05
kaoma dho,kaoma urban,2010-02-05
kaoma dho,luena camp,2010-02-08
kaoma dho,katunda,2010-02-05
kaoma dho,mulamba,2010-02-05
kaoma dho,luampa,2010-02-04
kaoma dho,nyambi 2,2010-02-02
kaoma dho,kabilamwandi,2010-02-08
kaoma dho,winda,2010-02-05
kaoma dho,namilangi,2010-02-05
kaoma dho,kahare,2010-02-08
kaoma dho,njonjolo,2010-02-05
kaoma dho,nkenga,2010-02-05
kaoma dho,lui,2010-02-04
kaoma dho,mayukwayukwa 1,2010-02-05
kaoma dho,mbanyutu,2010-02-05
kaoma dho,mayukwayukwa 2 (aha),2010-02-05
kaoma dho,zns mangango,2010-02-05
kaoma dho,saint josephs,2010-02-02
kaoma dho,afumba,2010-02-02
kaoma dho,nkeyema,2010-03-03
kaoma dho,nyambi 1,2010-03-03
kaoma dho,mulwa,2010-03-09
kaoma dho,kasimba,2010-03-05
kaoma dho,chitwa,2010-03-10
kaoma dho,nakayembe,2010-03-10
kaoma dho,kaoma urban,2010-03-02
kaoma dho,luena camp,2010-03-02
kaoma dho,katunda,2010-03-04
kaoma dho,mulamba,2010-03-10
